Decade,Occupation,Count,Share,HISCO Code,HISCO Description
1890s,Operasångerska,24,2.24,17145.0,Singer
1890s,Läroverksadjunkt,22,2.05,13200.0,"Secondary Education Teacher, Subject Unknown"
1890s,Textilkonstnärinna,19,1.77,N/A,N/A
1890s,Journalist,18,1.68,15915.0,Journalist
1890s,Författarinna,18,1.68,15120.0,Author
1890s,Advokat,18,1.68,12110.0,Lawyer
1890s,skulptris,18,1.68,16120.0,Sculptor
1900s,författarinna,101,5.25,15120.0,Author
1900s,tandläkare,61,3.17,6310.0,"Dentist, General"
1900s,Operasångerska,59,3.06,17145.0,Singer
1900s,Journalist,52,2.7,15915.0,Journalist
1900s,skådespelerska,49,2.55,17320.0,Actor
1900s,Tandläkare,44,2.29,6310.0,"Dentist, General"
1900s,Läroverksadjunkt,43,2.23,13200.0,"Secondary Education Teacher, Subject Unknown"
1900s,Rektor,33,1.71,13940.0,Head Teacher
1900s,Skådespelerska,32,1.66,17320.0,Actor
1900s,Professor,31,1.61,13100.0,"University and Higher Education Teacher, Subject Unknown"
1910s,skådespelerska,90,5.01,17320.0,Actor
1910s,författarinna,67,3.73,15120.0,Author
1910s,Skådespelerska,53,2.95,17320.0,Actor
1910s,författare,50,2.79,15120.0,Author
1910s,Journalist,46,2.56,15915.0,Journalist
1910s,tandläkare,45,2.51,6310.0,"Dentist, General"
1910s,Operasångerska,44,2.45,17145.0,Singer
1910s,Advokat,34,1.89,12110.0,Lawyer
1910s,konstnärinna,31,1.73,16000.0,"Sculptor, Painter, Photographer or Related Creative Artist, Specialisation Unknown"
1910s,Redaktör,29,1.62,15920.0,"Editor, Newspapers and Periodicals"
1920s,skådespelerska,68,4.4,17320.0,Actor
1920s,författare,55,3.56,15120.0,Author
1920s,Skådespelerska,54,3.49,17320.0,Actor
1920s,Legitimerad läkare,52,3.36,6105.0,General Physician
1920s,tandläkare,49,3.17,6310.0,"Dentist, General"
1920s,konstnär,44,2.85,16000.0,"Sculptor, Painter, Photographer or Related Creative Artist, Specialisation Unknown"
1920s,Konstnär,42,2.72,16000.0,"Sculptor, Painter, Photographer or Related Creative Artist, Specialisation Unknown"
1920s,Professor,36,2.33,13100.0,"University and Higher Education Teacher, Subject Unknown"
1920s,legitimerad läkare,32,2.07,6105.0,General Physician
1920s,författarinna,26,1.68,15120.0,Author
1930s,skådespelare,57,4.4,17320.0,Actor
1930s,författare,56,4.32,15120.0,Author
1930s,skådespelerska,56,4.32,17320.0,Actor
1930s,Professor,45,3.47,13100.0,"University and Higher Education Teacher, Subject Unknown"
1930s,journalist,30,2.32,15915.0,Journalist
1930s,Konstnär,29,2.24,16000.0,"Sculptor, Painter, Photographer or Related Creative Artist, Specialisation Unknown"
1930s,professor,27,2.08,13100.0,"University and Higher Education Teacher, Subject Unknown"
1930s,Skådespelerska,27,2.08,17320.0,Actor
1930s,Författare,25,1.93,15120.0,Author
1930s,tandläkare,25,1.93,6310.0,"Dentist, General"
1940s,författare,60,5.69,15120.0,Author
1940s,Professor,34,3.22,13100.0,"University and Higher Education Teacher, Subject Unknown"
1940s,journalist,31,2.94,15915.0,Journalist
1940s,Direktör,30,2.84,21110.0,General Manager
1940s,skådespelare,30,2.84,17320.0,Actor
1940s,Författare,27,2.56,15120.0,Author
1940s,Skådespelare,22,2.09,17320.0,Actor
1940s,generaldirektör,20,1.9,21000.0,"Manager, Specialisation Unknown"
1940s,professor,20,1.9,13100.0,"University and Higher Education Teacher, Subject Unknown"
1940s,Journalist,20,1.9,15915.0,Journalist
1950s,skådespelare,27,8.77,17320.0,Actor
1950s,författare,13,4.22,15120.0,Author
1950s,Operasångerska,11,3.57,17145.0,Singer
1950s,journalist,8,2.6,15915.0,Journalist
1950s,bordtennisspelare,7,2.27,N/A,N/A
1950s,redaktör,7,2.27,15920.0,"Editor, Newspapers and Periodicals"
1950s,sångerska,5,1.62,17145.0,Singer
1950s,förlagschef,5,1.62,21110.0,General Manager
1950s,artist,5,1.62,17000.0,"Composer or Performing Artist, Specialisation Unknown"
1950s,"Skådespelare, författare",4,1.3,15120.0,Author
1960s,journalist,6,7.23,15915.0,Journalist
1960s,författare,6,7.23,15120.0,Author
1960s,riksdagsledamot,5,6.02,20110.0,Legislative Official
1960s,litteraturkritiker,4,4.82,15120.0,Author
1960s,schackspelare,4,4.82,N/A,N/A
1960s,redaktör,4,4.82,15920.0,"Editor, Newspapers and Periodicals"
1960s,Dirigent,3,3.61,N/A,N/A
1960s,marknadsekonom,3,3.61,N/A,N/A
1960s,glaskonstnär,3,3.61,N/A,N/A
1960s,konstnär,2,2.41,16000.0,"Sculptor, Painter, Photographer or Related Creative Artist, Specialisation Unknown"
1970s,Skidåkare,3,25.0,N/A,N/A
1970s,Flöjtist,2,16.67,17140.0,Instrumentalist
1970s,Sångerska,1,8.33,17145.0,Singer
1970s,verkställande direktör,1,8.33,21110.0,General Manager
1970s,"journalist, producent",1,8.33,15915.0,Journalist
1970s,Riksdagsledamot,1,8.33,20110.0,Legislative Official
1970s,Teaterproducent och skribent,1,8.33,15120.0,Author
1970s,flöjtist,1,8.33,17140.0,Instrumentalist
1970s,artist,1,8.33,17000.0,"Composer or Performing Artist, Specialisation Unknown"
2000s,Textilkonstnär,4,28.57,16000.0,"Sculptor, Painter, Photographer or Related Creative Artist, Specialisation Unknown"
2000s,Docent,2,14.29,99999.0,Unspecified worktitle or several titles
2000s,Konstnär,2,14.29,16000.0,"Sculptor, Painter, Photographer or Related Creative Artist, Specialisation Unknown"
2000s,textilkonstnär,2,14.29,16000.0,"Sculptor, Painter, Photographer or Related Creative Artist, Specialisation Unknown"
2000s,konstnär,1,7.14,16000.0,"Sculptor, Painter, Photographer or Related Creative Artist, Specialisation Unknown"
2000s,"skådespelerska, författarinna",1,7.14,15120.0,Author
2000s,Överläkare,1,7.14,6105.0,General Physician
2000s,Designer,1,7.14,N/A,N/A
